"timestamp","count","area","address","lat","lon"
"01/07/2018",7.00,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
"01/07/2018",6.00,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
"01/07/2018",6.00,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
"01/07/2018",5.00,"Museo di storia naturale","Via Roma, 79","43.7222","10.52264"
"01/07/2018",3.00,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
"01/07/2018",2.00,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
"01/07/2018",1.00,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
"01/07/2018",1.00,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
"01/08/2018",209.00,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
"01/08/2018",177.00,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
"01/08/2018",157.00,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
"01/08/2018",59.00,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/08/2018",58.00,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
"01/08/2018",50.00,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
"01/08/2018",49.00,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
"01/08/2018",43.00,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
"01/08/2018",37.00,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
"01/08/2018",28.00,"Scuola Superiore S.Anna","Piazza Martiri della Libertà, 33","43.72096","10.40278"
"01/08/2018",21.00,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
"01/08/2018",18.00,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
"01/08/2018",13.00,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
"01/08/2018",13.00,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
"01/08/2018",12.00,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
"01/08/2018",12.00,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
"01/08/2018",10.00,"Residenza I Praticelli","Via Giovanni Berchet, 40","43.7191","10.42715"
"01/08/2018",8.00,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
"01/08/2018",7.00,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","43.71726","10.42732"
"01/08/2018",7.00,"Mensa Betti","Via E. Betti","43.71483","10.41804"
"01/08/2018",7.00,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
"01/08/2018",5.00,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","43.72009","10.40059"
"01/08/2018",4.00,"Universita' di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/08/2018",3.00,"Storia e filosofia","Via Pasquale Paoli, 9","43.71837","10.3987"
